CMDLINE python cli.py
MEM 21.683594 1775679297.2010
MEM 21.683594 1775679297.3013
MEM 21.683594 1775679297.4015
MEM 21.683594 1775679297.5018
MEM 21.683594 1775679297.6020
MEM 21.683594 1775679297.7023
MEM 21.683594 1775679297.8025
MEM 21.683594 1775679297.9028
MEM 21.683594 1775679298.0030
MEM 21.683594 1775679298.1032
MEM 21.683594 1775679298.2035
MEM 21.683594 1775679298.3038
MEM 21.683594 1775679298.4041
MEM 21.683594 1775679298.5049
MEM 21.683594 1775679298.6052
MEM 21.683594 1775679298.7054
MEM 21.683594 1775679298.8057
MEM 21.683594 1775679298.9059
MEM 21.683594 1775679299.0062
MEM 21.683594 1775679299.1065
MEM 21.683594 1775679299.2067
MEM 21.683594 1775679299.3070
MEM 21.683594 1775679299.4072
MEM 21.683594 1775679299.5075
MEM 21.683594 1775679299.6077
MEM 21.683594 1775679299.7080
MEM 21.683594 1775679299.8082
MEM 21.687500 1775679299.9085
MEM 21.687500 1775679300.0088
MEM 21.687500 1775679300.1090
MEM 21.687500 1775679300.2093
MEM 21.687500 1775679300.3095
MEM 21.687500 1775679300.4097
MEM 21.687500 1775679300.5100
MEM 21.687500 1775679300.6102
MEM 21.687500 1775679300.7104
MEM 21.687500 1775679300.8107
MEM 21.687500 1775679300.9110
MEM 21.687500 1775679301.0112
MEM 21.687500 1775679301.1114
MEM 21.687500 1775679301.2117
MEM 21.687500 1775679301.3119
MEM 21.687500 1775679301.4122
MEM 21.687500 1775679301.5124
MEM 21.687500 1775679301.6126
MEM 21.687500 1775679301.7128
MEM 21.687500 1775679301.8131
MEM 21.687500 1775679301.9133
MEM 21.687500 1775679302.0136
MEM 21.687500 1775679302.1138
MEM 21.687500 1775679302.2141
MEM 21.687500 1775679302.3143
MEM 21.687500 1775679302.4145
MEM 21.687500 1775679302.5148
MEM 21.687500 1775679302.6154
MEM 21.687500 1775679302.7156
MEM 21.687500 1775679302.8158
MEM 21.687500 1775679302.9161
MEM 21.687500 1775679303.0163
MEM 21.687500 1775679303.1166
MEM 21.687500 1775679303.2168
MEM 21.687500 1775679303.3171
MEM 21.687500 1775679303.4173
MEM 21.691406 1775679303.5175
MEM 21.691406 1775679303.6178
MEM 21.691406 1775679303.7180
MEM 21.691406 1775679303.8183
MEM 21.691406 1775679303.9185
MEM 21.691406 1775679304.0188
MEM 21.691406 1775679304.1190
MEM 21.691406 1775679304.2193
MEM 21.691406 1775679304.3195
MEM 21.691406 1775679304.4198
MEM 21.691406 1775679304.5200
MEM 21.691406 1775679304.6202
MEM 21.691406 1775679304.7205
MEM 21.691406 1775679304.8207
MEM 21.691406 1775679304.9210
MEM 21.691406 1775679305.0212
MEM 21.691406 1775679305.1214
MEM 21.691406 1775679305.2217
MEM 21.691406 1775679305.3220
MEM 21.691406 1775679305.4222
MEM 21.691406 1775679305.5224
MEM 21.691406 1775679305.6226
MEM 21.691406 1775679305.7229
MEM 21.691406 1775679305.8231
MEM 21.691406 1775679305.9234
MEM 21.691406 1775679306.0236
MEM 21.691406 1775679306.1239
MEM 21.691406 1775679306.2241
MEM 21.691406 1775679306.3246
MEM 21.691406 1775679306.4249
MEM 21.691406 1775679306.5251
MEM 21.691406 1775679306.6253
MEM 21.691406 1775679306.7256
MEM 21.691406 1775679306.8258
MEM 21.691406 1775679306.9261
MEM 21.691406 1775679307.0263
MEM 21.691406 1775679307.1266
MEM 21.691406 1775679307.2268
MEM 21.695312 1775679307.3271
MEM 21.695312 1775679307.4273
MEM 21.695312 1775679307.5275
MEM 21.695312 1775679307.6278
MEM 21.695312 1775679307.7281
MEM 21.695312 1775679307.8283
MEM 21.695312 1775679307.9286
MEM 21.695312 1775679308.0288
MEM 21.695312 1775679308.1291
MEM 21.695312 1775679308.2293
MEM 21.695312 1775679308.3295
MEM 21.695312 1775679308.4298
MEM 21.695312 1775679308.5300
MEM 21.695312 1775679308.6302
MEM 21.695312 1775679308.7304
MEM 21.695312 1775679308.8307
MEM 21.695312 1775679308.9309
MEM 21.695312 1775679309.0312
MEM 21.695312 1775679309.1315
MEM 21.695312 1775679309.2317
MEM 21.695312 1775679309.3319
MEM 21.695312 1775679309.4322
MEM 21.695312 1775679309.5324
MEM 21.695312 1775679309.6326
MEM 21.695312 1775679309.7329
MEM 21.695312 1775679309.8331
MEM 21.695312 1775679309.9333
MEM 21.695312 1775679310.0336
MEM 21.695312 1775679310.1338
MEM 21.695312 1775679310.2341
MEM 21.695312 1775679310.3348
MEM 21.695312 1775679310.4350
MEM 21.695312 1775679310.5353
MEM 21.695312 1775679310.6355
MEM 21.695312 1775679310.7358
MEM 21.695312 1775679310.8361
MEM 21.695312 1775679310.9363
MEM 21.695312 1775679311.0365
MEM 21.695312 1775679311.1368
MEM 21.695312 1775679311.2370
MEM 21.695312 1775679311.3373
MEM 21.695312 1775679311.4375
MEM 21.695312 1775679311.5378
MEM 21.695312 1775679311.6380
MEM 21.695312 1775679311.7383
MEM 21.695312 1775679311.8385
MEM 21.695312 1775679311.9387
MEM 21.695312 1775679312.0390
MEM 21.695312 1775679312.1392
MEM 21.699219 1775679312.2400
MEM 21.699219 1775679312.3402
MEM 21.699219 1775679312.4405
MEM 21.699219 1775679312.5408
MEM 21.699219 1775679312.6410
MEM 21.699219 1775679312.7413
MEM 21.699219 1775679312.8416
MEM 21.699219 1775679312.9418
MEM 21.699219 1775679313.0421
MEM 21.699219 1775679313.1423
MEM 21.699219 1775679313.2426
MEM 21.699219 1775679313.3428
MEM 21.699219 1775679313.4431
MEM 21.699219 1775679313.5433
MEM 21.699219 1775679313.6435
MEM 21.699219 1775679313.7438
MEM 21.699219 1775679313.8441
MEM 21.699219 1775679313.9443
MEM 21.699219 1775679314.0445
MEM 21.699219 1775679314.1448
MEM 21.699219 1775679314.2450
MEM 21.699219 1775679314.3453
MEM 21.699219 1775679314.4456
MEM 21.699219 1775679314.5458
MEM 21.699219 1775679314.6460
MEM 21.699219 1775679314.7463
MEM 21.699219 1775679314.8465
MEM 21.699219 1775679314.9468
MEM 21.699219 1775679315.0471
MEM 21.699219 1775679315.1473
MEM 21.699219 1775679315.2476
MEM 21.699219 1775679315.3478
MEM 21.699219 1775679315.4480
MEM 21.699219 1775679315.5483
MEM 21.699219 1775679315.6485
MEM 21.699219 1775679315.7491
MEM 21.699219 1775679315.8493
MEM 21.699219 1775679315.9495
MEM 21.699219 1775679316.0498
MEM 21.699219 1775679316.1500
MEM 21.699219 1775679316.2503
MEM 21.699219 1775679316.3505
MEM 21.699219 1775679316.4507
MEM 21.699219 1775679316.5510
MEM 21.699219 1775679316.6512
MEM 21.699219 1775679316.7514
MEM 21.699219 1775679316.8517
MEM 21.699219 1775679316.9519
MEM 21.699219 1775679317.0522
MEM 21.699219 1775679317.1524
MEM 21.699219 1775679317.2527
MEM 21.699219 1775679317.3529
MEM 21.699219 1775679317.4531
MEM 21.699219 1775679317.5534
MEM 21.699219 1775679317.6536
MEM 21.699219 1775679317.7538
MEM 21.699219 1775679317.8541
MEM 21.703125 1775679317.9543
MEM 21.703125 1775679318.0545
MEM 21.703125 1775679318.1548
MEM 21.703125 1775679318.2551
MEM 21.703125 1775679318.3553
MEM 21.703125 1775679318.4556
MEM 21.703125 1775679318.5558
MEM 21.703125 1775679318.6560
MEM 21.703125 1775679318.7563
MEM 21.703125 1775679318.8565
MEM 21.703125 1775679318.9568
MEM 21.703125 1775679319.0570
MEM 21.703125 1775679319.1572
MEM 21.703125 1775679319.2575
MEM 21.703125 1775679319.3577
MEM 21.703125 1775679319.4580
MEM 21.703125 1775679319.5582
MEM 21.703125 1775679319.6584
MEM 21.703125 1775679319.7587
MEM 21.703125 1775679319.8589
MEM 21.703125 1775679319.9592
MEM 21.703125 1775679320.0594
MEM 21.703125 1775679320.1597
MEM 21.703125 1775679320.2599
MEM 21.703125 1775679320.3602
MEM 21.703125 1775679320.4605
MEM 21.703125 1775679320.5608
MEM 21.703125 1775679320.6610
MEM 21.703125 1775679320.7613
MEM 21.703125 1775679320.8616
MEM 21.703125 1775679320.9618
MEM 21.703125 1775679321.0621
MEM 21.703125 1775679321.1623
MEM 21.703125 1775679321.2625
MEM 21.703125 1775679321.3628
MEM 21.703125 1775679321.4630
MEM 21.703125 1775679321.5633
MEM 21.703125 1775679321.6635
MEM 21.703125 1775679321.7638
MEM 21.703125 1775679321.8640
MEM 21.703125 1775679321.9643
MEM 21.703125 1775679322.0645
MEM 21.703125 1775679322.1648
MEM 21.703125 1775679322.2651
MEM 21.703125 1775679322.3654
MEM 21.703125 1775679322.4657
MEM 21.703125 1775679322.5660
MEM 21.703125 1775679322.6663
MEM 21.703125 1775679322.7666
MEM 21.703125 1775679322.8668
MEM 21.703125 1775679322.9670
MEM 21.703125 1775679323.0673
MEM 21.703125 1775679323.1676
MEM 21.703125 1775679323.2678
MEM 21.703125 1775679323.3680
MEM 21.703125 1775679323.4683
MEM 21.703125 1775679323.5685
MEM 21.703125 1775679323.6688
MEM 21.703125 1775679323.7690
MEM 21.703125 1775679323.8693
MEM 21.703125 1775679323.9695
MEM 21.703125 1775679324.0698
MEM 21.703125 1775679324.1700
MEM 21.703125 1775679324.2702
MEM 21.703125 1775679324.3704
MEM 21.703125 1775679324.4707
MEM 21.707031 1775679324.5709
MEM 21.707031 1775679324.6712
MEM 21.707031 1775679324.7714
MEM 21.707031 1775679324.8716
MEM 21.707031 1775679324.9718
MEM 21.707031 1775679325.0721
MEM 21.707031 1775679325.1723
MEM 21.707031 1775679325.2726
MEM 21.707031 1775679325.3728
MEM 21.707031 1775679325.4731
MEM 21.707031 1775679325.5733
MEM 21.707031 1775679325.6736
MEM 21.707031 1775679325.7739
MEM 21.707031 1775679325.8741
MEM 21.707031 1775679325.9743
MEM 21.707031 1775679326.0746
MEM 21.707031 1775679326.1748
MEM 21.707031 1775679326.2751
MEM 21.707031 1775679326.3753
MEM 21.707031 1775679326.4756
MEM 21.707031 1775679326.5758
MEM 21.707031 1775679326.6761
MEM 21.707031 1775679326.7763
MEM 21.707031 1775679326.8766
MEM 21.707031 1775679326.9768
MEM 21.707031 1775679327.0770
MEM 21.707031 1775679327.1773
MEM 21.707031 1775679327.2776
MEM 21.707031 1775679327.3778
MEM 21.707031 1775679327.4781
MEM 21.707031 1775679327.5784
MEM 21.707031 1775679327.6786
MEM 21.707031 1775679327.7788
MEM 21.707031 1775679327.8791
MEM 21.707031 1775679327.9793
MEM 21.707031 1775679328.0795
MEM 21.707031 1775679328.1798
MEM 21.707031 1775679328.2800
MEM 21.707031 1775679328.3803
MEM 21.707031 1775679328.4805
MEM 21.707031 1775679328.5808
MEM 21.707031 1775679328.6810
MEM 21.707031 1775679328.7813
MEM 21.707031 1775679328.8815
MEM 21.707031 1775679328.9819
MEM 21.707031 1775679329.0821
MEM 21.707031 1775679329.1824
MEM 21.707031 1775679329.2826
MEM 21.707031 1775679329.3828
MEM 21.707031 1775679329.4831
MEM 21.707031 1775679329.5833
MEM 21.707031 1775679329.6836
MEM 21.707031 1775679329.7838
